STATNAME,Total Literacy Rate,High or Low,Primary Schools,Upper Primary with secondary,Primary School(Government),Upper Primary with Secondary(government),Primary School(private),Upper primary with secondary(private),Primary School(Schools approachabe by all weather road),Upper primary with secondary(Schools approachabe by all weather road),Primary Schools(with electricity),Upper primary with secondary(with electricity),Primary schools(need minor repairs),Upper primary with secondary(need minor repair),Primary schools(need major repair),Upper primary with secondary(need major repair)
TAMIL NADU,74.92,High,822,70,689,59,127,11,816,70,814,70,242,12,217,2
TAMIL NADU,72.96,Low,1477,131,1198,101,271,30,1476,131,1470,131,428,30,271,29
TAMIL NADU,85.65,High,408,68,244,53,164,15,380,66,378,66,113,43,30,8
TAMIL NADU,84.31,High,1767,165,1279,132,475,33,1751,165,1737,165,521,64,345,6
TAMIL NADU,76.85,High,1294,118,950,79,340,39,1255,115,1268,118,516,15,280,6
TAMIL NADU,75.86,High,655,63,539,52,116,11,648,62,652,63,202,11,128,5
TAMIL NADU,83.56,High,1281,142,859,114,422,28,1259,140,1265,141,482,46,512,18
TAMIL NADU,74.68,High,776,132,575,110,201,22,761,128,770,131,370,41,101,8
TAMIL NADU,79.04,High,1365,151,917,127,448,24,1338,149,1357,151,539,91,304,35
TAMIL NADU,84.09,High,951,110,575,92,376,18,929,108,929,110,299,58,202,27
TAMIL NADU,83.26,High,799,80,590,66,202,14,795,80,789,79,268,66,176,32
TAMIL NADU,82.72,High,1319,155,938,125,374,30,1303,150,1300,154,605,42,266,17
TAMIL NADU,77.76,High,1268,122,1044,106,224,16,1268,122,1259,122,500,77,476,12
TAMIL NADU,80.46,High,980,100,731,70,227,30,970,99,970,100,345,11,294,20
TAMIL NADU,81.66,High,1301,122,798,95,501,27,1274,121,1271,121,523,49,283,11
TAMIL NADU,77.62,High,527,50,327,38,199,12,494,45,512,50,126,15,183,4
TAMIL NADU,80.75,High,1103,119,642,89,461,30,1085,116,1084,118,239,28,266,12
TAMIL NADU,81.48,High,1041,86,771,64,268,22,1005,84,1016,83,427,22,258,18
TAMIL NADU,86.52,High,1190,76,500,30,688,46,1154,75,1115,76,174,3,240,9
TAMIL NADU,82.92,High,1804,131,643,62,1145,69,1784,130,1640,131,250,19,264,30
TAMIL NADU,92.14,High,574,116,295,75,272,41,563,114,564,116,57,35,88,24
TAMIL NADU,72.41,Low,1275,169,1134,165,141,4,1197,158,1272,167,312,39,363,26
PUDUCHERRY,80.26,High,15,6,15,6,0,0,15,6,15,6,5,0,0,0
PUDUCHERRY,86.13,High,178,25,156,25,22,0,178,25,178,25,24,6,33,0
PUDUCHERRY,98.35,High,11,1,8,1,3,0,11,1,11,1,5,0,0,0
PUDUCHERRY,87.83,High,74,4,60,4,14,0,73,4,74,4,11,0,7,3
A & N ISLANDS,88.49,High,81,0,56,0,25,0,78,0,79,0,68,0,18,0
A & N ISLANDS,77.5,High,30,0,30,0,0,0,24,0,20,0,32,0,6,0
A & N ISLANDS,84.25,High,107,0,99,0,8,0,66,0,72,0,102,0,62,0
TELANGANA,61.55,Low,3080,476,2978,432,71,44,2603,460,2438,473,1316,345,901,263
TELANGANA,62.25,Low,1610,495,1493,465,73,30,1499,487,1339,485,996,331,674,290
TELANGANA,64.87,Low,2126,794,2000,697,103,97,2036,778,1919,778,865,374,779,290
TELANGANA,62.53,Low,2018,578,1917,544,75,34,1879,568,1675,565,1474,494,981,286
TELANGANA,80.96,High,1565,1153,505,188,954,955,1538,1137,1422,1110,499,291,114,36
TELANGANA,78.05,High,1789,549,1592,473,158,76,1683,535,1437,529,1216,488,597,173
TELANGANA,56.06,Low,2809,701,2608,632,164,69,2544,681,2250,666,1890,517,1318,387
TELANGANA,65.05,Low,2424,704,2294,619,110,84,2323,695,1877,683,1338,362,827,208
TELANGANA,66.16,Low,2373,646,2235,555,102,91,2257,640,1749,632,1143,350,808,225
TELANGANA,65.46,Low,2154,427,2067,393,80,34,1944,419,1927,423,1068,276,889,157
,73.39483824,,,,,,,,,,,,,,,
